"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/EJS/chapter 1/c1.js", "JavaScript", 0, 25, 0, 31, 32, 88
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/EJS/chapter 1/index.html", "HTML", 12, 0, 0, 0, 2, 14
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/EJS/chapter 2/c2.js", "JavaScript", 0, 23, 0, 155, 81, 259
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/EJS/chapter 2/index.html", "HTML", 12, 0, 0, 0, 0, 12
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/advanced js/adv JS.js", "JavaScript", 0, 81, 0, 52, 64, 197
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/advanced js/index.html", "HTML", 13, 0, 0, 0, 2, 15
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/form.html", "HTML", 26, 0, 0, 0, 7, 33
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/form.js", "JavaScript", 0, 22, 0, 0, 11, 33
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/index.css", "CSS", 0, 0, 16, 0, 3, 19
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/index.html", "HTML", 1, 0, 0, 0, 0, 1
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/jquery.html", "HTML", 19, 0, 0, 0, 6, 25
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/jquery.js", "JavaScript", 0, 7, 0, 0, 5, 12
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/test.js", "JavaScript", 0, 20, 0, 12, 34, 66
"Total", "-", 83, 178, 16, 250, 247, 774